error_address,error_new_address,app_lat,app_lon
"Mill Street & Beach Avenue, Penns Grove, NJ, 08069","Penns Grove, NJ, 08069",39.7295581,-75.4679734
"P O Box 486, Pensacola, FL, 32593","P O Box 486, Pensacola, FL, 32593",30.6082789,-87.3183041
"160 & Tenth Street, Claremont, CA, 91711","Claremont, CA, 91711",34.0966764,-117.7197785
"P. O. Box 404, Multi City, MD, 24000",MD,39.0457549,-76.6412712
"16 State House Station, Augusta, ME, 04333","16 State House Station, Augusta, ME, 04333",44.5090624,-69.7854198
"P. O. Box, Villalba, PR, 00766","P. O. Box, Villalba, PR, 00766",18.1217554,-66.4985787
"Main & Munch Sts, Laporte, PA, 18626","Laporte, PA, 18626",41.4187868,-76.4895637
"100 Cambrdige St. #1302, Boston, MA, 02202","100 Cambrdige St., Boston, MA, 02202",42.3390059,-71.0913588
" 009 Station Guam, Mangilao, GU, 88888","Mangilao, GU, 88888",13.4345759,144.8003311
"P.O. Box AF, Agana, GU, 96932","Agana, GU, 96932",13.4720383,144.7542155
"P. O. Box 108, Macon, GA, 31298","P. O. Box 108, Macon, GA, 31298",32.8324995,-83.7248662
" P. O. Box 4555, Vega Baja, PR, 00694","P. O. Box 4555, Vega Baja, PR, 00694",18.4874843,-66.4045597
"Box 4555, Vega Baja, PR, 00694","Box 4555, Vega Baja, PR, 00694",18.4874843,-66.4045597
" Post Office Box 10, Jonesboro, AR, 72467","Post Office Box 10, Jonesboro, AR, 72467",35.8417002,-90.6768986
"PO Box, Ponce, PR, 00733","PO Box, Ponce, PR, 00733",18.01,-66.61
"P. O. Box 331709, Ponce, PR, 00733","P. O. Box 331709, Ponce, PR, 00733",18.01,-66.61
"P.O. Box 1727, Majuro, MH, 96960","P.O. Box 1727, Majuro, MH, 96960",7.0682089,171.2815413
" P.O. Box 2950, Agana, GU, 96910","P.O. Box 2950, Agana, GU, 96910",13.4762824,144.7502228
"PO Box 97, Hormigueros, PR, 00660","PO Box 97, Hormigueros, PR, 00660",18.1396799,-67.1274019
"P O Box 1385, Anasco, PR, 00610","P O Box 1385, Anasco, PR, 00610",18.2854476,-67.1402935
"PO Box 2106, Orocovis, PR, 00720","PO Box 2106, Orocovis, PR, 00720",18.2269224,-66.3911686
"4101 Mars Hill #41, Frederiksted, VI, 00840","4101 Mars Hill, Frederiksted, VI, 00840",17.6972727,-64.8750701
"DE Diego Ave., Stop 22, San Juan, PR, 00940","DE Diego Ave., Stop 22, San Juan, PR, 00940",18.4662291,-66.1057352
"Aldebaran #638, San Juan, PR, 00920","Aldebaran, San Juan, PR, 00920",18.4100746,-66.0909634
"P. O. Box 42007, San Juan, PR, 00940","P. O. Box 42007, San Juan, PR, 00940",18.4662291,-66.1057352
"Minillas Government Cntr, DE Diego Ave., San Juan, PR, 00940","Minillas Government Cntr, DE Diego Ave., San Juan, PR, 00940",18.4472007,-66.067602
"PO Box 1588, Bayamon, PR, 00960","PO Box 1588, Bayamon, PR, 00960",18.3930642,-66.1548168
"RR 1, Box 10000, Kingshill, VI, 00850","RR 1, Box 10000, Kingshill, VI, 00850",17.7230296,-64.782923
"Office of the Mayor, P.O. Box 537, Rota, MP, 96951","Rota, MP, 96951",15.2130982,145.7536944
"P.O. Box 474 Colonia Yap, Colonia, FM, 96943","P.O. Box 474 Colonia Yap, Colonia, FM, 96943",9.5156798,138.1238219
"State Government Building, Ponape, FM, 96941","Ponape, FM, 96941",6.9550004,158.2202751
"P.O. Box AD, Kosrae, FM, 96944","Kosrae, FM, 96944",5.3535849,162.9555331
"P.O. Box 363475 , San Juan, PR, 00936-3475","P.O. Box 363475 , San Juan, PR, 00936-3475",18.466224,-66.1057244
"Broad & Montgomery, Philadelphia, PA, 19122","Philadelphia, PA, 19122",39.9795244,-75.145782
"UOG Station, Mangilao, GU, 96923","Mangilao, GU, 96923",13.4345759,144.8003311
"1316 Anatahan Drive, Saipan, MP, 96950","Saipan, MP, 96950",15.177801,145.750967
"Box  1365, Cayey, PR, 88888","Cayey, PR, 88888",18.1283948,-66.1064317
"59 State House Station, Augusta, ME, 04333",,44.5074628,-69.7809965
"State House Station #21, Augusta, ME, 04333",,44.5074628,-69.7809965
"59 State House Station, Augusta, ME, 04333",,44.5074628,-69.7809965
"P. O. Box 4555, Vega Baja, PR, 00694",,18.4874843,-66.4045597
"Post Office Box 10, Jonesboro, AR, 72467",,35.8417002,-90.6768986
"PO Box 2260, Jonesboro, AR, 72467",,35.8417002,-90.6768986
"P.O. Box 2760, State University, AR, 72467",,35.8417002,-90.6768986
"009 Station Guam, Mangilao, GU, 88888",,13.4345759,144.8003311
"PO Box 357, Florida, PR, 00650",,18.3661773,-66.5610859
"Box 2106, Orocovis, PR, 00720",,18.2269224,-66.3911686
"P.O. Box 2950, Agana, GU, 96910",,13.4720383,144.7542155
"P. O. Box 2950, Agana, GU, 96910",,13.4720383,144.7542155
"Office OF The Mayor Rota, Rota, MP, 96951",,15.2130982,145.7536944
"P.O. Box 363475 , San Juan, PR, 00936-3475",,18.4662291,-66.1057352
